7
1
1 2 3 4 5 6 7 8
92 64 87 2 95 67 25 87 
1 96 25 68 72 40 26 58 
60 26 55 7 38 12 61 22 
86 2 45 45 87 63 3 24 
67 87 17 6 27 75 6 94 
28 80 66 5 52 98 10 46 
20 27 41 59 64 4 76 69 
63 18 42 57 22 29 61 4 
10 73 65 36 31 1 29 5 
57 15 84 36 76 57 99 89 
97 30 73 47 79 56 41 82 
93 18 52 39 10 53 88 38 
8 25 93 83 17 94 7 54 
57 68 38 61 15 77 92 72 
12 46 78 57 94 6 12 70 
26 33 54 38 76 32 73 35 
14 71 97 33 98 85 36 26 
55 40 20 78 50 89 69 28 
43 15 22 73 32 67 29 89 
67 20 53 4 58 33 88 50 
36 58 10 68 3 69 1 50 
37 42 56 83 71 95 93 34 
29 93 99 78 19 24 14 43 
81 53 97 77 1 95 91 84 
43 57 93 70 65 18 64 1 
48 14 7 67 80 72 18 16 
69 66 46 51 98 30 75 79 
97 35 62 99 59 31 25 89 
61 59 49 13 30 70 79 4 
94 16 70 18 84 66 74 48 
20 32 25 65 17 14 8 98 
96 83 60 7 96 20 16 59 
79 77 10 72 50 41 79 29 
39 29 73 23 5 96 82 48 
98 18 40 93 36 74 87 40 
25 43 41 34 84 19 73 37 
44 49 44 19 90 16 85 92 
7 56 81 61 66 54 44 82 
80 70 26 6 22 83 75 97 
83 76 83 11 10 55 92 13 
59 30 53 19 23 50 99 58 
80 26 94 15 9 99 47 65 
2 57 51 67 51 83 19 6 
39 72 5 66 63 25 55 23 
90 1 76 38 27 74 11 38 
3 81 44 58 78 69 65 55 
56 69 19 40 12 88 48 52 
10 38 55 23 46 2 22 51 
64 62 83 36 98 89 91 87 
75 94 96 65 32 68 51 59 
1 17 72 84 1 87 75 64 
80 3 19 3 67 26 43 28 
63 38 80 73 36 68 97 15 
60 55 55 5 33 76 46 34 
46 37 78 57 21 37 2 23 
91 19 14 25 49 11 51 29 
31 72 6 3 50 54 71 67 
77 76 57 45 59 42 77 76 
67 83 49 13 88 69 10 53 
41 61 94 5 22 44 62 80 
68 32 36 76 59 64 37 46 
7 94 70 47 94 87 50 35 
94 34 23 98 28 85 68 23 
90 25 48 52 23 83 78 53 
41 6 79 43 92 86 6 95 
88 64 1 73 31 9 62 7 
23 90 76 64 72 61 28 55 
60 28 97 78 2 57 84 63 
68 6 77 49 89 82 71 8 
21 65 87 82 72 68 87 28 
1 72 21 52 64 41 26 14 
4
8 97 87 16 68 52 76 31 
61 11 36 97 82 14 22 62 
98 6 24 32 6 90 92 39 
24 2 5 58 44 82 11 29 
29 40 82 33 89 34 6 69 
30 88 43 72 92 93 23 30 
84 61 53 30 30 18 31 10 
10 95 58 13 60 5 5 63 
73 51 64 27 67 70 7 83 
87 57 9 81 86 60 44 2 
70 97 18 1 21 1 28 39 
18 17 49 1 51 80 4 86 
46 88 27 87 18 83 86 32 
30 99 63 1 13 45 65 12 
19 90 59 81 35 53 11 17 
57 14 6 3 49 84 60 15 
75 46 65 9 32 81 97 33 
78 29 38 13 91 63 13 58 
20 52 22 23 93 75 55 91 
57 69 60 7 62 73 74 24 
9 53 69 94 68 56 38 64 
76 94 59 16 14 17 59 95 
82 28 44 86 96 52 84 71 
74 97 37 15 66 92 90 49 
16 72 25 57 61 84 55 64 
85 81 50 12 43 90 26 37 
40 96 61 39 12 52 68 21 
78 52 55 34 10 69 5 82 
91 2 17 24 15 26 40 28 
91 6 33 14 14 53 78 58 
44 73 5 59 79 28 21 68 
70 17 37 81 17 12 56 79 
16
69 25 26 6 26 34 11 4 
23 25 46 35 57 32 90 71 
7 5 34 13 17 9 97 66 
13 96 85 77 19 34 51 26 
44 29 4 83 15 22 29 49 
16 39 38 83 42 47 27 18 
79 85 60 96 39 39 55 6 
91 49 83 58 70 70 72 78 
26 1 12 67 6 39 57 80 
10 86 33 11 32 32 20 5 
10 73 45 85 5 68 44 53 
44 2 20 94 30 46 72 90 
49 14 10 49 96 65 30 71 
58 76 81 41 30 41 81 71 
47 84 3 9 98 4 28 91 
92 61 51 96 47 92 43 60 
80 36 66 95 70 28 38 16 
51 14 43 66 30 74 80 80 
80 39 60 66 99 93 31 27 
93 32 42 45 55 82 34 13 
26 31 62 40 94 99 36 30 
15 99 87 56 8 80 47 20 
29 46 50 31 66 34 34 86 
38 14 66 90 71 36 56 94 
22 61 87 90 20 3 37 53 
5 33 93 46 20 56 73 92 
47 22 17 45 41 72 80 21 
54 5 8 58 98 25 77 72 
41 86 41 28 82 6 11 47 
16 10 51 48 15 42 5 30 
24 67 14 26 52 98 70 1 
1 97 59 45 24 62 28 37 
88 62 27 5 2 22 88 93 
77 22 54 43 19 28 52 80 
84 91 2 59 13 50 64 20 
72 83 23 19 17 12 94 98 
7 40 67 42 83 13 59 96 
49 59 13 85 46 50 80 17 
84 93 55 7 18 15 82 94 
98 50 12 19 33 81 24 90 
70 71 84 37 15 87 75 83 
27 8 42 2 92 89 20 35 
20 71 52 96 50 22 4 60 
42 81 45 57 13 29 25 69 
88 2 17 57 69 2 44 99 
42 50 69 89 42 76 53 49 
14 19 86 36 74 49 68 77 
3 61 55 18 78 57 60 11 
5 72 10 39 7 57 33 18 
60 67 27 17 58 87 28 97 
29 30 57 96 39 25 71 27 
10 66 79 55 40 15 57 13 
98 27 16 96 66 2 72 30 
81 35 62 28 94 47 50 41 
60 92 72 27 81 21 72 11 
32 71 69 97 89 99 2 97 
82 98 1 11 74 34 46 48 
37 28 27 34 83 25 82 61 
38 90 52 46 16 56 88 53 
70 50 81 44 5 54 34 9 
3 25 37 38 43 95 4 9 
96 15 85 20 46 35 49 59 
28 8 22 43 49 97 94 3 
58 70 85 67 47 69 62 10 
40 34 9 4 68 76 48 69 
62 66 11 44 85 46 34 64 
26 23 23 82 67 58 27 26 
67 98 58 8 61 83 45 85 
14 55 7 6 28 13 47 9 
72 44 84 36 89 65 78 21 
66 13 2 96 40 96 78 14 
1 96 86 81 79 79 9 46 
69 12 34 16 85 87 24 30 
95 10 95 95 31 52 86 99 
16 47 11 95 26 21 7 78 
97 26 64 75 15 90 32 21 
94 26 99 76 90 31 63 53 
39 23 49 95 65 11 17 91 
76 1 19 52 64 86 24 54 
30 42 1 48 65 90 56 63 
8 14 26 1 74 23 7 26 
44 36 52 80 36 93 91 8 
85 36 1 22 80 89 3 96 
6 98 8 31 17 10 82 45 
60 93 40 76 56 84 58 14 
82 4 26 67 66 97 90 86 
12 19 39 23 82 83 74 83 
66 45 11 25 36 16 70 64 
42 76 82 58 34 86 81 7 
65 71 98 43 68 67 54 81 
61 9 30 50 64 57 32 16 
87 29 44 5 75 29 39 37 
75 69 3 79 95 50 94 14 
33 88 9 69 34 95 78 72 
73 63 74 69 5 55 28 13 
79 93 48 17 70 15 67 3 
15 80 57 38 12 37 81 68 
66 94 3 78 44 24 25 60 
20 37 86 19 66 65 72 20 
85 81 77 79 42 85 91 25 
52 11 13 11 35 59 79 25 
73 29 38 74 61 33 10 66 
10 80 86 8 93 23 33 1 
88 30 92 81 96 99 11 83 
13 59 46 41 7 77 90 58 
5 31 82 31 32 60 9 36 
86 41 8 17 19 7 40 44 
98 72 66 87 24 65 80 85 
55 25 45 48 46 93 73 69 
37 30 11 97 89 81 59 34 
26 65 88 98 57 49 82 57 
64 42 76 28 96 33 18 57 
74 99 3 19 65 62 44 76 
87 57 7 93 48 27 58 49 
38 92 79 80 10 26 9 73 
68 66 15 9 73 4 96 50 
97 71 23 15 53 82 83 21 
7 41 68 12 11 67 58 90 
70 63 41 57 59 57 27 43 
29 70 79 10 97 25 52 31 
89 30 23 70 86 98 27 66 
75 4 96 13 60 23 74 91 
2 12 41 97 74 14 1 44 
93 77 80 76 96 88 80 95 
46 58 24 88 27 5 71 99 
14 65 5 35 67 62 82 5 
46 70 57 44 8 11 60 69 
49 6 35 35 80 37 31 57 
8
37 59 48 20 40 72 29 73 
44 17 82 83 96 13 6 52 
69 78 8 97 13 87 38 16 
70 68 73 46 56 21 52 11 
44 71 94 93 92 44 80 42 
54 64 35 49 91 59 90 4 
35 99 74 65 30 30 92 47 
85 21 59 74 81 20 40 85 
54 11 50 63 93 63 9 40 
8 88 45 86 49 74 80 18 
88 29 98 17 17 90 93 32 
59 36 30 29 93 59 97 57 
37 39 8 25 26 63 85 24 
12 40 34 2 28 68 15 45 
50 80 10 42 79 32 26 92 
99 69 91 58 20 32 31 94 
63 28 29 63 14 36 5 82 
69 79 95 85 27 13 58 73 
37 80 9 17 68 80 94 86 
9 87 28 96 35 87 61 99 
95 54 52 45 33 35 85 40 
87 75 99 15 95 38 94 22 
63 62 65 98 80 16 28 6 
88 63 88 62 62 35 36 11 
97 9 85 20 6 73 65 58 
59 7 80 48 30 31 30 46 
38 70 25 32 60 80 74 76 
35 79 98 56 69 44 22 2 
28 89 7 26 96 21 5 27 
84 63 50 31 70 44 94 35 
68 57 2 46 99 75 9 57 
43 31 55 65 72 43 8 76 
43 4 68 81 24 10 86 74 
53 41 91 90 7 82 37 12 
60 85 85 50 36 61 21 43 
1 20 26 60 33 20 7 76 
93 70 94 90 48 29 15 63 
55 48 57 42 74 16 32 36 
14 28 34 44 54 58 28 65 
1 56 50 97 60 22 51 77 
30 14 80 45 75 30 16 90 
77 2 74 80 57 69 71 97 
27 63 79 7 86 45 66 85 
23 61 41 16 12 56 96 88 
99 71 91 15 63 20 38 85 
3 24 40 89 83 31 71 25 
94 85 25 5 13 61 95 2 
51 68 79 39 87 87 20 54 
44 88 70 58 14 66 51 13 
10 54 23 35 30 45 73 79 
8 91 44 87 57 4 96 46 
64 13 24 74 41 42 18 51 
5 18 25 19 76 99 48 72 
77 34 66 66 19 18 32 55 
55 93 85 87 91 31 73 86 
35 48 1 17 67 5 16 94 
18 26 40 22 46 6 41 98 
77 19 82 20 24 13 33 83 
24 7 68 27 38 59 48 23 
38 30 8 42 9 20 52 30 
17 85 68 77 65 31 65 58 
82 70 56 14 58 54 78 28 
93 62 82 5 61 63 68 88 
42 27 19 12 59 88 93 39 
13
78 39 81 26 81 80 56 58 
64 45 53 87 25 93 86 46 
96 90 11 73 81 4 57 13 
17 75 73 52 77 27 37 95 
96 49 14 62 21 64 28 70 
79 78 25 23 67 26 92 55 
56 26 17 36 6 42 30 12 
86 92 55 74 6 57 75 28 
43 68 37 58 76 18 43 78 
9 57 2 22 83 46 15 94 
98 96 77 56 93 99 46 1 
32 57 73 57 56 19 37 49 
28 41 2 46 30 66 10 42 
52 54 40 87 35 43 52 35 
88 79 32 85 56 6 79 34 
58 27 24 76 70 61 42 80 
72 79 37 2 26 52 66 15 
21 13 82 73 43 31 43 41 
99 26 10 28 67 19 36 66 
80 35 93 59 48 59 42 36 
5 69 62 48 66 44 89 51 
33 50 52 77 86 43 58 78 
19 57 15 28 59 17 57 48 
22 81 49 75 49 8 28 26 
64 71 78 57 14 29 84 95 
19 55 61 42 6 39 99 7 
38 67 44 82 24 99 19 26 
17 41 42 45 92 25 19 62 
1 13 71 48 89 19 98 97 
16 88 4 63 98 94 11 83 
60 22 74 31 12 87 33 43 
9 61 10 33 57 51 72 49 
69 95 10 83 74 47 5 97 
71 80 57 79 24 12 62 62 
99 58 66 62 35 24 44 42 
49 58 71 53 79 47 80 89 
40 93 50 75 8 66 20 36 
44 37 85 72 99 14 62 94 
76 86 69 11 61 76 29 59 
1 23 34 62 58 95 65 82 
86 53 30 83 91 53 85 48 
98 32 36 79 3 41 53 28 
23 85 14 60 22 29 3 30 
33 17 87 67 49 3 88 25 
97 89 73 12 82 7 84 67 
11 14 41 79 68 65 14 9 
77 13 14 37 4 92 13 86 
29 74 4 22 69 94 43 9 
66 93 86 13 99 45 33 23 
66 3 16 95 92 69 52 76 
93 90 69 19 56 98 42 56 
74 99 42 26 93 20 59 26 
99 25 62 85 21 12 78 43 
59 90 61 5 31 65 17 70 
28 16 67 27 86 97 6 63 
72 71 46 26 56 50 97 62 
10 18 78 77 82 69 5 51 
94 40 62 25 97 84 84 27 
50 58 72 31 61 67 56 33 
29 37 43 15 51 78 56 2 
20 76 93 79 82 5 32 67 
85 85 88 25 66 81 72 76 
39 58 39 48 7 2 78 81 
64 21 43 35 33 18 66 25 
64 76 53 33 75 24 10 9 
52 35 92 17 70 30 27 50 
80 28 6 40 8 21 91 26 
4 13 42 71 15 7 92 11 
84 68 86 23 77 59 28 90 
29 68 13 63 3 28 32 71 
72 52 91 18 10 64 50 79 
85 80 23 59 66 3 37 32 
31 70 10 83 62 58 5 23 
57 34 73 70 14 96 5 67 
21 87 5 37 17 93 42 50 
53 58 47 81 22 83 32 62 
66 76 18 95 64 95 98 15 
87 57 79 93 18 74 96 53 
41 62 36 5 92 93 90 46 
65 55 63 63 71 54 49 66 
59 50 94 85 76 66 97 71 
78 31 23 34 82 26 95 50 
59 75 58 67 60 71 53 69 
84 54 8 80 65 38 89 12 
91 28 8 28 51 88 28 93 
2 24 78 40 38 34 19 67 
9 99 31 26 3 53 21 21 
86 5 97 55 13 80 91 61 
50 17 8 43 3 98 46 81 
34 70 8 8 76 8 25 18 
32 78 98 23 61 88 19 98 
55 33 33 56 83 49 28 72 
34 96 32 99 99 58 47 29 
65 84 53 77 44 74 99 9 
84 29 89 48 36 50 10 95 
80 34 2 98 7 32 5 1 
51 19 97 13 74 51 57 29 
92 47 45 39 51 84 68 43 
28 37 15 45 89 30 87 3 
67 76 74 46 69 44 62 97 
19 9 12 43 17 79 39 71 
24 11 94 29 62 11 89 23 
33 63 71 92 40 45 79 8 
27 99 7 6 19 16 75 16 
